UserLoginId,score,Score_Bucket
101167,0.932471,0.80-1.00 Very High
101241,0.929209,0.80-1.00 Very High
101316,0.924981,0.80-1.00 Very High
101445,0.922935,0.80-1.00 Very High
100677,0.902036,0.80-1.00 Very High
100303,0.902034,0.80-1.00 Very High
101343,0.891904,0.80-1.00 Very High
101057,0.886208,0.80-1.00 Very High
100484,0.858189,0.80-1.00 Very High
101254,0.834202,0.80-1.00 Very High
100631,0.772118,0.60-0.80 High
100839,0.737572,0.60-0.80 High
100031,0.731969,0.60-0.80 High
100964,0.707413,0.60-0.80 High
100182,0.698941,0.60-0.80 High
101361,0.698003,0.60-0.80 High
101221,0.693801,0.60-0.80 High
100442,0.693519,0.60-0.80 High
101281,0.673177,0.60-0.80 High
101011,0.67049,0.60-0.80 High
101380,0.66543,0.60-0.80 High
101375,0.64828,0.60-0.80 High
100104,0.644309,0.60-0.80 High
100679,0.641052,0.60-0.80 High
100643,0.628859,0.60-0.80 High
101437,0.621024,0.60-0.80 High
100283,0.620992,0.60-0.80 High
100115,0.620427,0.60-0.80 High
100329,0.618412,0.60-0.80 High
101366,0.615102,0.60-0.80 High
100814,0.614877,0.60-0.80 High
100638,0.609304,0.60-0.80 High
100713,0.606943,0.60-0.80 High
100797,0.602849,0.60-0.80 High
101454,0.602553,0.60-0.80 High
100476,0.602357,0.60-0.80 High
100779,0.600166,0.60-0.80 High
100815,0.597185,0.40-0.60 Medium
100218,0.595488,0.40-0.60 Medium
100135,0.595316,0.40-0.60 Medium
100047,0.592246,0.40-0.60 Medium
101197,0.58997,0.40-0.60 Medium
101429,0.589577,0.40-0.60 Medium
100742,0.587311,0.40-0.60 Medium
100975,0.583195,0.40-0.60 Medium
101341,0.578541,0.40-0.60 Medium
100570,0.573416,0.40-0.60 Medium
100153,0.571097,0.40-0.60 Medium
100167,0.563214,0.40-0.60 Medium
100921,0.558195,0.40-0.60 Medium
101085,0.556739,0.40-0.60 Medium
100256,0.548583,0.40-0.60 Medium
100161,0.547458,0.40-0.60 Medium
101070,0.544863,0.40-0.60 Medium
101187,0.539989,0.40-0.60 Medium
100445,0.537797,0.40-0.60 Medium
100460,0.537758,0.40-0.60 Medium
100275,0.537373,0.40-0.60 Medium
101400,0.536139,0.40-0.60 Medium
