UserLoginId,SignupDay,SignupTime,DeviceType,IsFreeConsultationTaken,CountryId,Gender,Age,City,State,HasTakenChatConsultation,HasTakenCallConsultation,HasTakenOtherConsultation,HasRated,HasReviewed,HadPositiveInteraction,HadNegativeInteraction,HasUsedGift,app_version,device_manufacturer,device_name,isp,language,os_name,os_version,platform,store,lifetime_session_count,session_count,time_spent,Acquisition Source,Campaign,Campaign Adgroup,Campaign Group,HasRecharged
100000,Sun,6,Android,0,4,Female,30.0,Bangalore,Delhi,0,0,0,0,0,0,0,0,1.0,OnePlus,Reno,BSNL,Hindi,Android,17,app,play_store,15,3,95.2,referral,generic,ag2,none,0
100001,Thu,13,Android,0,1,Male,30.0,Delhi,Unknown,0,0,1,0,0,1,0,0,1.1,Vivo,iPhone 13,Airtel,Tamil,Android,14,app,app_store,11,1,337.5,organic,remarketing,ag3,organic,0
100002,Fri,16,Android,1,1,Female,42.0,Delhi,Delhi,0,1,0,1,0,0,0,0,1.0,Oppo,A12,Jio,Marathi,iOS,16,app,app_store,6,4,400.3,meta,remarketing,ag3,organic,0
100003,Sun,17,iOS,0,1,Female,43.0,Unknown,Rajasthan,0,1,0,0,0,0,0,0,1.2,Samsung,iPhone 13,Airtel,Bengali,Android,13,app,play_store,17,1,820.2,meta,remarketing,ag3,organic,0
100004,Wed,12,Android,0,1,Female,29.0,Jaipur,Maharashtra,0,0,0,0,1,0,0,0,1.1,Oppo,Note 10,BSNL,Hindi,Android,14,app,play_store,10,3,489.6,influencer,activation,ag1,paid,0
100005,Fri,19,Android,1,1,Male,32.0,Pune,MP,0,0,0,0,0,0,0,0,2.0,Xiaomi,A12,Other,Bengali,iOS,14,web,app_store,6,1,867.9,meta,none,ag3,crm,1
100006,Fri,19,Android,0,1,Male,31.0,Indore,Karnataka,1,0,0,1,0,0,0,0,2.0,Apple,Reno,Other,Hindi,iOS,15,app,play_store,9,3,662.5,referral,brand,ag2,organic,0
100007,Sun,20,Android,0,1,Female,18.0,Mumbai,Unknown,0,0,0,0,0,1,0,0,1.2,Xiaomi,A12,BSNL,Hindi,Android,17,app,play_store,9,1,768.6,referral,none,ag2,paid,1
100008,Tue,17,iOS,0,1,Female,27.0,Indore,Maharashtra,0,1,0,0,0,0,0,0,1.0,Xiaomi,Reno,Other,Tamil,Android,16,app,play_store,7,3,293.9,organic,activation,none,paid,0
100009,Wed,3,Android,1,4,Female,43.0,Pune,Karnataka,0,1,0,1,0,0,0,0,2.1,Oppo,A12,BSNL,Tamil,Android,12,web,play_store,4,2,622.2,referral,brand,ag2,none,0
